City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
241,Plaridel,PH,78.85,scattered clouds,14.8872,120.8572,St. Agatha Resort
250,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
251,Samarai,PG,81.95,scattered clouds,-10.6167,150.6667,Nuli Sapi
252,Arlington,US,88.99,clear sky,32.7357,-97.1081,817 Hotel Days Inn by Wyndham ATT Stadium/Texas Live
253,Palora,EC,75.74,moderate rain,-1.7,-77.9333,Rancho grande
254,Labuhan,ID,79.32,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
255,Olavarria,AR,79.02,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
259,Sesheke,ZM,79.93,light rain,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
260,Mayo,US,78.39,clear sky,38.8876,-76.5119,Resorts Resource Group International
265,Taoudenni,ML,89.04,broken clouds,22.6783,-3.9836,
266,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
268,Cockburn Town,TC,82.99,clear sky,21.4612,-71.1419,Osprey Beach Hotel
272,Ondjiva,AO,76.14,scattered clouds,-17.0667,15.7333,COMBUESA
274,Anloga,GH,82.62,moderate rain,5.7947,0.8973,Pin Drop Hotel
281,Cuencame,MX,82.33,broken clouds,24.8711,-103.6964,Hotel La Casa Del Viajero
288,Neiafu,TO,77.68,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
289,Muscat,OM,83.32,clear sky,23.6139,58.5922,Mutrah Hotel
299,Beruwala,LK,78.37,overcast clouds,6.4788,79.9828,The Palms Hotel
303,Keti Bandar,PK,79.07,clear sky,24.1447,67.4497,Haji laloo memon house
304,Yondo,CO,87.04,scattered clouds,7.0062,-73.9097,estacion sayab sede la felicidad
309,Zhuhai,CN,75.06,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
312,Bilma,NE,82.85,clear sky,18.6853,12.9164,Expeditions Ténére voyages
314,Sao Filipe,CV,79.09,scattered clouds,14.8961,-24.4956,Hotel Xaguate
315,Rock Sound,BS,82.6,overcast clouds,24.9,-76.2,Rock Sound Club
316,Bacolod,PH,77.5,overcast clouds,10.6667,122.95,Planta Hotel & Residences
318,Sorong,ID,79.47,broken clouds,-0.8833,131.25,waigo splash hotel
323,Buala,SB,82.24,light rain,-8.145,159.5921,Maringe Lagoon Lodge
327,Caucaia,BR,82.35,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
329,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
331,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
332,Ruidoso,US,76.75,clear sky,33.3317,-105.673,Inn of the Mountain Gods
339,Duncan,US,80.82,clear sky,34.5023,-97.9578,Days Inn by Wyndham Duncan
340,Sambava,MG,75.11,light rain,-14.2667,50.1667,Melrose
341,Callaway,US,83.91,clear sky,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
343,Arlit,NE,85.96,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
344,Salalah,OM,76.24,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
345,Nanakuli,US,84.04,overcast clouds,21.3906,-158.1547,Camp Pālehua
348,Eyl,SO,77.97,broken clouds,7.9803,49.8164,Amiin Hotel
350,Bambanglipuro,ID,78.28,overcast clouds,-7.95,110.2833,Puri Brata
352,Nizwa,OM,79.81,clear sky,22.9333,57.5333,Orient Apartments
357,Mumford,GH,79.68,light rain,5.2618,-0.759,Spanish Villa
366,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
368,Banjar,ID,76.91,overcast clouds,-8.19,114.9675,The Hamsa Resort
370,Pasni,PK,76.78,clear sky,25.2631,63.471,Kashmiri Hotal
373,Yuli,NG,82.27,overcast clouds,9.6989,10.2744,
375,Mabua,PH,78.73,overcast clouds,9.8089,125.4422,Almont Beach Resort
376,Alofi,NU,77.14,scattered clouds,-19.0595,-169.9187,Taloa Heights
378,Boulder City,US,78.55,haze,35.9786,-114.8325,Boulder Dam Hotel
379,Thinadhoo,MV,83.52,overcast clouds,0.5333,72.9333,
386,Nabire,ID,75.33,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
387,Diapaga,BF,82.54,scattered clouds,12.0708,1.7889,
395,Bonthe,SL,79.27,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
400,Soyo,AO,76.86,broken clouds,-6.1349,12.3689,Hotel Mpampa
401,Tautira,PF,80.62,light rain,-17.7333,-149.15,Pension Oaoa
407,Waingapu,ID,79.09,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
408,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
413,Sao Felix Do Xingu,BR,79.59,broken clouds,-6.6447,-51.995,Rio Xingu Camping
415,Pandan,PH,79.97,overcast clouds,14.0453,124.1694,Bonifacio Lodge
417,Ciudad Del Maiz,MX,75.9,overcast clouds,22.4,-99.6,Hotel Casona del General
419,Kavieng,PG,81.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
420,Jalu,LY,76.59,scattered clouds,29.0331,21.5482,صاحبة الفخامة
424,Rayong,TH,78.8,broken clouds,12.8333,101.4333,Suan Palm Garden View Hotel
425,Mulanje,MW,75.04,clear sky,-16.0316,35.5,Mulanje Motel
427,Ixtapa,MX,84.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
438,Vallenar,CL,76.19,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
447,Teacapan,MX,84.29,few clouds,22.55,-105.75,Hotel los Mangos
449,Ouahigouya,BF,89.2,few clouds,13.5828,-2.4216,Hotel Liberte
452,Kokopo,PG,78.31,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
